STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202102,1,41,경기도,10483577,4,11692,15835045386,14835987904,12258198782,2577789122,999057482,137622640
202102,1,42,강원도,1123364,3,9219,1447131019,1346866443,1097218141,249648302,100264576,7178915
202102,1,43,충청북도,1221830,3,8971,1591810574,1493301983,1235899499,257402485,98508591,8244723
202102,1,44,충청남도,1571224,3,8775,2040106677,1917703193,1587173743,330529450,122403484,11181880
202102,1,45,전라북도,1320666,4,8926,1706651446,1604202692,1323607314,280595378,102448754,8689250
202102,1,46,전라남도,1249123,3,7973,1480446638,1390170345,1138870133,251300213,90276293,5967501
202102,1,47,경상북도,1918489,3,8370,2231143403,2082550213,1707853883,374696330,148593190,11346777
202102,1,48,경상남도,2440679,4,9755,3145246965,2914936618,2360103542,554833076,230310347,16282909
202102,1,50,제주특별자치도,500454,4,9133,732391895,684842402,557035741,127806660,47549494,4415659
202103,1,11,서울특별시,8104703,4,12089,14215092876,13265264077,11109415590,2155848487,949828799,209589301
202103,1,26,부산광역시,2645280,4,11295,4191597891,3842266231,3087964947,754301284,349331660,32062471
202103,1,27,대구광역시,1951585,4,10729,2959167693,2747767388,2244494849,503272540,211400305,21426213
202103,1,28,인천광역시,2317055,4,10669,3627451624,3339133338,2713274019,625859319,288318286,32592275
202103,1,29,광주광역시,1149240,4,10808,1952202616,1827073160,1512424687,314648474,125129456,10585715
202103,1,30,대전광역시,1196006,4,10772,1968416757,1837914284,1534696214,303218070,130502473,14585687
202103,1,31,울산광역시,885359,4,11112,1407655220,1299286131,1077679618,221606512,108369089,8700489
202103,1,36,세종특별자치시,255005,5,14734,519146134,493106254,420642562,72463693,26039879,4277649
202103,1,41,경기도,10578165,4,11767,18368703246,17130399920,14236541399,2893858521,1238303326,177550736
202103,1,42,강원도,1131201,3,9276,1690221943,1563767540,1281045149,282722391,126454403,8973750
202103,1,43,충청북도,1229701,3,9035,1839618952,1716155335,1427881962,288273373,123463617,10192432
202103,1,44,충청남도,1617250,3,8833,2434571495,2278971720,1895224528,383747192,155599775,14780705
202103,1,45,전라북도,1327820,4,8967,1953957706,1825242328,1509908798,315333530,128715378,10231392
202103,1,46,전라남도,1297668,3,8097,1817218052,1698208644,1395923806,302284838,119009408,7802752
202103,1,47,경상북도,1930378,3,8425,2597880610,2411621308,1990302202,421319106,186259302,14136031
202103,1,48,경상남도,2512104,4,9784,3696718069,3402112023,2766130225,635981798,294606046,21512212
202103,1,50,제주특별자치도,505495,4,9218,855366890,796279314,651543800,144735514,59087576,5644336
202104,1,11,서울특별시,8104668,4,12192,13868351114,12996654773,10933937635,2062717138,871696341,255455081
202104,1,26,부산광역시,2643354,4,11377,3997947594,3676713028,2954828987,721884041,321234567,35559907
202104,1,27,대구광역시,1952608,4,10805,2850185404,2652437547,2170197347,482240200,197747858,21146311
202104,1,28,인천광역시,2317813,4,10749,3506656542,3239737356,2635591053,604146303,266919186,35470608
202104,1,29,광주광역시,1150187,4,10887,1887237746,1768984515,1470695219,298289296,118253231,11486896
202104,1,30,대전광역시,1196667,4,10849,1897418007,1775695393,1485363893,290331500,121722614,16998833
202104,1,31,울산광역시,885870,4,11182,1346426088,1244328235,1031639985,212688250,102097853,9724818
