tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2020-12-14,3374595,42766,31814,10372,580,90129,3241700,3397039,43484,32102,10795,587,89247,3264308,22444,718,288,423,7,-882,22608
2020-12-15,3397039,43484,32102,10795,587,89247,3264308,3441220,44364,32559,11205,600,93473,3303383,44181,880,457,410,13,4226,39075
2020-12-16,3441220,44364,32559,11205,600,93473,3303383,3488769,45442,32947,11883,612,94784,3348543,47549,1078,388,678,12,1311,45160
2020-12-17,3488769,45439,32947,11880,612,94784,3348546,3538840,46453,33610,12209,634,99258,3393129,50071,1014,663,329,22,4474,44583
2020-12-18,3538840,46453,33610,12209,634,99258,3393129,3589795,47515,33982,12888,645,110618,3431662,50955,1062,372,679,11,11360,38533
2020-12-19,3589797,47517,33982,12890,645,110618,3431662,3646247,48570,34334,13577,659,126233,3471444,56450,1053,352,687,14,15615,39782
2020-12-20,3646247,48568,34334,13575,659,126233,3471446,3683094,49665,34722,14269,674,139475,3493954,36847,1097,388,694,15,13242,22508
2020-12-21,3683094,49665,34722,14269,674,139475,3493954,3713861,50591,35155,14738,698,146438,3516832,30767,926,433,469,24,6963,22878
2020-12-22,3713861,50591,35155,14738,698,146438,3516832,3772432,51460,35928,14810,722,151129,3569843,58571,869,773,72,24,4691,53011
2020-12-23,3772430,51458,35928,14808,722,151129,3569843,3826571,52550,36726,15085,739,153109,3620912,54141,1092,798,277,17,1980,51069
2020-12-24,3826570,52548,36726,15083,739,153109,3620913,3882210,53533,37425,15352,756,150533,3678144,55640,985,699,269,17,-2576,57231
2020-12-25,3882210,53529,37425,15348,756,150533,3678148,3939357,54770,38048,15949,773,156789,3727798,57147,1241,623,601,17,6256,49650
2020-12-26,3939357,54770,38048,15949,773,156789,3757798,3969415,55902,38532,16577,793,157012,3969415,30058,1132,484,628,20,223,28703
2020-12-27,3969415,55902,38532,16577,793,157012,3756501,4006412,56872,39040,17024,808,166976,3782564,36997,970,508,447,15,9964,26063
2020-12-28,4006412,56872,39040,17024,808,166976,3782564,4038307,57680,39268,17593,819,169878,3810749,31895,808,228,569,11,2902,28185
2020-12-29,4038307,57679,39268,17592,819,169878,3810750,4098181,58725,40703,17163,859,170962,3868494,59874,1046,1435,-429,40,1084,57744
2020-12-30,4098179,58723,40703,17161,859,17962,3868494,4159522,59773,41435,17459,879,171771,3927978,61343,1050,732,298,20,809,59484
2020-12-31,4159522,59773,41435,17459,879,171771,3927978,4213880,60740,42271,17569,900,170338,3982802,54358,967,836,110,21,-1433,54824
2021-01-01,4213880,60740,42271,17569,900,170338,3982802,4269318,61769,42953,17899,917,176927,4030622,55438,1029,682,330,17,6589,47820
2021-01-02,4269318,61769,42953,17899,917,176927,4030622,4302799,62593,43578,18073,942,179387,4060819,33481,824,625,174,25,2460,30197
2021-01-03,4302798,62587,43578,18067,942,179387,4060824,4340838,63244,44507,17775,962,186472,4091122,38040,657,929,-292,20,7085,30298
2021-01-04,4340838,63244,445007,17775,962,186472,4091122,4376608,64264,45240,18043,981,190732,4121612,35770,1020,733,268,19,4260,30490
2021-01-05,4376608,64264,45240,18043,981,190732,4121612,4439361,64979,46172,17800,1007,193751,4180631,62753,715,932,-243,26,3019,59019
2021-01-06,4439360,64978,46172,17799,1007,193751,4180631,4504868,65818,46995,17796,1027,192082,4246968,65508,840,823,-3,20,-1669,66337
2021-01-07,4504866,65816,46995,17794,1027,192082,4246968,4569809,66686,47649,17991,1046,191762,4311361,64943,870,654,197,19,-320,64393
2021-01-08,4569808,66684,47649,17989,1046,191762,4311362,4630004,67358,48369,17908,1081,190452,4372194,60196,674,720,-81,35,-1310,60832
2021-01-09,4630004,67358,48369,17908,1081,190452,4372194,4689616,67999,49324,17575,1100,185923,4435694,59612,641,955,-333,19,-4529,63500
2021-01-10,4689616,67999,49324,17575,1100,185923,4435694,4723464,68664,50409,17130,1125,191454,4463346,33848,665,1085,-445,25,5531,27652
2021-01-11,4723463,68663,50409,17129,1125,191454,4463346,4751685,69114,52552,15422,1140,189763,4492808,28222,451,2143,-1707,15,-1691,29462
2021-01-12,4751685,69114,52552,15422,1140,189763,4492808,4814085,69651,53569,14917,1165,186770,4557664,62400,537,1017,-505,25,-2993,64856
2021-01-13,4814085,69650,53569,14916,1165,186770,4557665,4872312,70212,54636,14391,1185,182914,4619186,58227,562,1067,-525,20,-3856,61521
2021-01-14,4872312,70204,54636,14383,1185,182914,4619194,4925359,70728,55772,13761,1195,169742,4684889,53047,524,1136,-622,10,-13172,65695
2021-01-15,4925359,70728,55772,13761,1195,169742,4684889,4978075,71241,56536,13488,1217,162323,4744511,52716,513,764,-273,22,-7419,59622
2021-01-16,4978074,71240,56536,13487,1217,162323,4744511,5032270,71820,57554,13030,1236,155639,4804811,54196,590,1018,-457,19,-6684,60300
2021-01-17,5032270,71820,57554,13030,1236,155639,4804811,5061290,72340,58253,12838,1249,159385,4829565,29020,520,699,-192,13,3746,24754
2021-01-18,5061290,72340,58253,12838,1249,159385,4829565,5087220,72729,58723,12742,1264,158035,4856456,25930,389,470,-96,15,-1350,26891
2021-01-19,5087220,72729,58723,12742,1264,158035,4856456,5140326,73115,59468,12364,1283,154345,4912866,53106,386,745,-378,19,-3690,56410
2021-01-20,5140325,73114,59468,12363,1283,154345,4912866,5192129,73518,60180,12038,1300,148141,4970470,51804,404,712,-325,17,-6204,57604
2021-01-21,5192128,73517,60180,12037,1300,148141,4970470,5237608,73918,60846,11756,1316,141070,5022620,45480,401,666,-281,16,-7071,52150
2021-01-22,5237606,73916,60846,11754,1316,141070,5022620,5282224,74262,61415,11519,1328,133132,5074830,44618,346,569,-235,12,-7938,52210
2021-01-23,5282223,74261,61415,11518,1328,133132,5074830,5329707,74692,62044,11311,1337,136629,5118386,47484,431,629,-207,9,3497,43556
2021-01-24,5329707,74692,62044,11311,1337,136629,5118386,5354349,75084,62530,11205,1349,135765,5143500,24642,392,486,-106,12,-864,25114
2021-01-25,5354349,75084,62530,11205,1349,135765,5143500,5376086,75521,62956,11205,1360,134549,5166016,21737,437,426,0,11,-1216,22516
2021-01-26,5376086,75521,62956,11205,1360,134549,5166016,5422768,75875,64793,9711,1371,138624,5208269,46682,354,1837,-1494,11,4075,42253
2021-01-27,5422763,75870,64793,9706,1371,138624,5208269,5469247,79429,65478,9573,1378,138427,5254391,46484,559,685,-133,7,-197,46122
2021-01-28,5469247,76429,65478,9573,1378,138427,5254391,5522189,76926,66016,9524,1386,139424,5305839,52942,497,538,-49,8,997,51448
2021-01-29,5522189,76926,66016,9524,1386,139424,5305839,5569264,77395,66503,9493,1399,142753,5349116,47075,469,487,-31,13,3329,43277
2021-01-30,5569262,77392,66503,9400,1399,142753,5349117,5616530,77850,67121,9315,1414,145795,5392885,47268,458,618,-85,15,3042,43768
2021-01-31,5616530,77850,67121,9315,1414,145795,5392885,5640820,78205,37878,8907,1420,149550,5413065,24290,355,757,-408,6,3755,20180
2021-02-01,5640818,78203,67857,8926,1420,149550,5413065,5661842,78508,68309,8774,1425,149456,5433878,21024,305,452,-152,5,-94,20813
2021-02-02,5661842,78508,68309,8774,1425,149456,5433878,5711413,78844,68775,8634,1435,154265,5478304,49571,336,466,-140,10,4809,44426
2021-02-03,5711413,78844,68775,8634,1435,154265,5478304,5756714,79311,69299,8571,1441,138849,5538554,45301,467,524,-63,6,-15416,60250
2021-02-04,5756714,79311,69299,8571,1441,138849,5538554,5803095,79762,69704,8610,1448,120538,5602795,46381,451,405,39,7,-18311,64241
2021-02-05,5803095,79761,69704,8609,1448,120538,5602796,5847178,80131,70117,8555,1459,107457,5659590,44083,370,413,-54,11,-13081,56794
2021-02-06,5847178,80131,70117,8555,1459,107457,5659590,5893353,80524,70505,8555,1464,97677,5715152,46175,393,388,0,5,-9780,55562
2021-02-07,5893353,80524,70505,8555,1464,97677,5715152,5916975,80896,70865,8560,1471,90751,5745328,23622,372,360,5,7,-6926,30176
2021-02-08,5196975,80896,70865,8560,1471,90751,5745328,5938197,81185,71218,8493,1474,8484,5772169,21222,289,353,-67,3,-5908,26841
2021-02-09,5938197,81184,71218,8492,1474,84843,5772170,5987406,81487,71676,8329,1482,82630,5823289,49209,303,459,-163,8,-2213,51119
2021-02-10,5987405,81486,71676,8328,1482,82630,5829289,6030023,81930,72226,8218,1486,80076,5868017,42618,444,550,-110,4,-2554,44728
2021-02-11,6030023,81930,72226,8218,1486,80076,5868017,6070008,82434,72638,8300,1496,81614,5905960,39985,504,412,82,10,1538,37943
2021-02-12,6070008,82434,72638,8300,1496,81614,5905960,6093369,82837,72936,8394,1507,80861,5929671,23361,403,298,94,11,-753,23711
2021-02-13,6093369,82837,72936,8394,1507,80861,5929671,6115337,83199,73227,8458,1514,70251,5961887,21968,362,291,64,7,-10610,32216
2021-02-14,6115337,83199,73227,8458,1514,70251,5961887,6140086,83525,73559,8444,1522,78200,5978361,24759,326,332,-14,8,7949,16474
2021-02-15,6140086,83525,73559,8444,1522,78200,5978361,6162860,838869,73794,8548,1527,80146,5998845,22774,344,235,104,5,1946,20484
2021-02-16,6162860,83868,73794,8547,1527,80146,5998846,6213490,84325,74551,8240,1534,76897,6052268,50630,457,757,-307,7,-3249,53422
2021-02-17,6213490,84325,74551,8240,1534,76897,6052268,6260567,84946,75360,8048,1538,72410,6103211,47077,621,809,-192,4,-4487,50943
2021-02-18,6260567,84946,75360,8048,1538,72410,6103211,6303214,85567,75896,8127,1544,70720,6146927,42647,621,536,79,6,-1690,43716
2021-02-19,6303214,85567,75896,8127,1544,70720,6146927,6345992,86128,76513,8065,1550,71116,6188748,42778,561,614,-62,6,396,41821
2021-02-20,6345992,86128,76513,8065,1550,71116,6188748,6390629,86574,77083,7938,1553,76137,6227918,44637,446,570,-127,3,5021,39170
2021-02-21,6390631,86576,77083,7940,1553,76137,6227918,6411340,86992,77516,7919,1557,73356,6250992,20109,416,433,-21,4,-2781,23074
2021-02-22,6411340,86992,77516,7919,1557,73356,6250992,6429144,87324,77887,7875,1562,72461,626359,17804,332,371,-44,5,-895,18367
2021-02-23,6429144,87324,77887,7875,1562,72461,6269359,9472679,87681,78394,7714,1573,74065,6310933,43535,357,507,-161,11,1604,41574
2021-02-24,6472679,87680,78394,7713,1573,74065,6310934,6510988,88120,79050,7494,1576,74988,6347880,38309,440,656,-219,3,923,36946
2021-02-25,6510988,88120,79050,7494,1576,74988,6347880,6551214,88516,79487,7448,1581,68672,6394026,40226,396,437,-46,5,-6316,46146
2021-02-26,6551214,88516,79487,7448,1581,68672,6394026,6590066,88922,79880,7457,1585,68942,6432202,38852,406,393,9,4,270,38176
2021-02-27,6590066,88906,79880,7441,1585,68942,6432218,6627215,89321,80333,7393,1595,68989,6468905,37149,415,453,-48,10,47,36687
2021-02-28,6627215,89320,80333,7392,1595,68989,6468906,6649006,89676,80697,7376,1603,72889,6486441,21791,356,364,-16,8,3900,17535
2021-03-01,6649006,89674,80697,7374,1603,72889,6486443,6665755,90029,81070,7354,1605,73745,6501981,16749,355,373,-20,2,856,15538
2021-03-02,6665755,90028,81070,7353,1605,73745,6501982,6681976,90372,81338,7428,1606,73432,6518172,16221,344,268,75,1,-313,16190
2021-03-03,6681976,90372,81338,7428,1606,73432,6518172,6716203,90816,81700,7504,1612,65867,6559520,34227,444,362,76,6,-7565,41348
2021-03-04,6716203,90816,81700,7504,1612,65867,6559520,6751900,91240,82162,7459,1619,60089,6600571,35697,424,462,-45,7,-5778,41051
2021-03-05,6751900,91240,82162,7459,1619,60089,6600571,6789011,91638,82560,7451,1627,63707,6633666,37111,398,398,-8,8,3618,33095
2021-03-06,6789011,91637,82560,7450,1627,63707,6633667,6821943,92055,82913,7510,1632,65171,6664717,32932,418,353,60,5,1464,31050
2021-03-07,6821943,92055,82913,7510,1632,65171,6664717,6843126,92471,83220,7617,1634,66396,6684259,21183,416,307,107,2,1225,19542
2021-03-08,6843126,92471,83220,7617,1634,66396,6684259,6861809,92817,83474,7701,1642,67394,6701598,18683,346,254,84,8,998,17339
2021-03-09,6861809,92817,83474,7701,1642,67394,6701598,6902984,93263,83900,7718,1645,70501,6739220,41175,446,426,17,3,3107,37622
2021-03-10,6902984,93263,83900,7718,1645,70501,6739220,6938884,93733,84312,7773,1648,70278,6774873,35900,470,412,55,3,-223,35653
2021-03-11,6938884,93733,84312,7773,1648,70278,6774873,6976985,94198,84675,7871,1652,68248,6814539,38101,465,363,87,4,-2030,39666
2021-03-12,6976985,94198,84675,7871,1652,68248,6814539,7012664,94686,85743,7281,1662,68738,6849240,35679,488,1068,-590,10,490,34701
2021-03-13,7012664,94686,85743,7281,1662,68738,6849240,7046782,95176,86625,6884,1667,67874,6883732,34118,490,882,-397,5,-864,34492
2021-03-14,7046782,95176,86625,6884,1667,67874,6883732,7066401,95635,87408,6558,1669,69843,6900923,19619,459,783,-326,2,1969,17191
2021-03-15,7066401,95635,87408,6558,1669,69843,6900923,7084940,96017,87754,6588,1675,71590,6917333,18539,382,346,30,6,1747,16410
2021-03-16,7084940,96017,87754,6588,1675,71590,6917333,7126077,96380,88255,6447,1678,78044,6951653,41137,363,501,-141,3,6454,34320
2021-03-17,7126077,96380,88255,6447,1678,78044,6951653,7171510,96849,88814,6349,1686,83462,6991199,45433,469,559,-98,8,5418,39546
2021-03-18,7171510,96849,88814,6349,1686,83462,6991199,7218087,97294,89178,6428,1688,89722,7031071,46577,445,364,79,2,6260,39872
2021-03-19,7218087,97294,89178,6428,1688,89722,7031071,7264941,97757,89523,6544,1690,88341,7078843,46854,463,345,116,2,-1381,47772
2021-03-20,7264941,97757,89523,6544,1690,88341,7078843,7308950,98209,89949,6567,1693,93018,7117723,44009,452,426,23,3,4677,38880
2021-03-21,7308950,98209,89949,6567,1693,93018,7117723,7332714,98665,90328,6641,1696,98308,7135741,23764,456,379,74,3,5290,18018
2021-03-22,7332714,98660,90328,6636,1696,98308,7135746,7355964,99075,90611,6767,1697,103132,7153757,23250,415,283,131,1,4824,18011
2021-03-23,7355964,99075,90611,6767,1697,103132,7153757,7400990,99421,91079,6638,1704,100172,7201397,45026,346,468,-129,7,-2960,47640
2021-03-24,7400990,99418,91079,6635,1704,100172,7201400,7441210,99846,91560,6579,1707,94326,7247038,40220,428,481,-56,3,-5846,45638
2021-03-25,7441210,99846,91560,6579,1707,94326,7247038,7485859,100276,92068,6499,1709,86983,7298600,44649,430,508,-80,2,-7343,51562
2021-03-26,7485859,100276,92068,6499,1709,86983,7298600,7529403,100770,92630,6424,1716,77409,7351224,4354,494,562,-75,7,-9574,52624
2021-03-27,7529403,100770,92630,6424,1716,77409,7351224,7572568,101275,93475,6079,1721,75174,7396119,43165,505,845,-345,5,-2235,44895
