tDate,Country,Number,HolidayName
2024-12-25,Mauritius,1,Christmas Day
2024-12-25,Mexico,1,Christmas Day
2024-12-25,Micronesia,1,Christmas Day
2024-12-25,Moldova,1,Christmas Day
2024-12-25,Monaco,1,Christmas Day
2024-12-25,Montserrat,1,Christmas Day
2024-12-25,Mozambique,1,Family Day
2024-12-25,Myanmar,1,Christmas Day
2024-12-25,Namibia,1,Christmas Day
2024-12-25,Nauru,1,Christmas Day
2024-12-25,Netherlands,1,Christmas Day
2024-12-25,New Caledonia,1,Christmas Day
2024-12-25,New Zealand,1,Christmas Day
2024-12-25,Nicaragua,1,Christmas Day
2024-12-25,Niger,1,Christmas Day
2024-12-25,Nigeria,1,Christmas Day
2024-12-25,Northern Mariana Islands,1,Christmas Day
2024-12-25,Norway,1,Christmas Day
2024-12-25,Palau,1,Christmas Day
2024-12-25,Panama,1,Christmas Day
2024-12-25,Papua New Guinea,1,Christmas Day
2024-12-25,Paraguay,1,Christmas Day
2024-12-25,Peru,1,Christmas Day
2024-12-25,Philippines,1,Christmas Day
2024-12-25,Poland,1,Christmas Day
2024-12-25,Portugal,1,Christmas Day
2024-12-25,Puerto Rico,1,Christmas Day
2024-12-25,Reunion,1,Christmas Day
2024-12-25,Romania,1,Christmas Day
2024-12-25,Rwanda,1,Christmas Day
2024-12-25,Saint Helena,1,Christmas Day
2024-12-25,Saint Kitts and Nevis,1,Christmas Day
2024-12-25,Saint Lucia,1,Christmas Day
2024-12-25,Saint Martin,1,Christmas Day
2024-12-25,Saint Pierre and Miquelon,1,Christmas Day
2024-12-25,Saint Vincent and the Grenadines,1,Christmas Day
2024-12-25,Samoa,1,Christmas Day
2024-12-25,San Marino,1,Christmas Day
2024-12-25,Sao Tome and Principe,1,Christmas Day
2024-12-25,Senegal,1,Christmas Day
2024-12-25,Seychelles,1,Christmas Day
2024-12-25,Sierra Leone,1,Christmas Day
2024-12-25,Singapore,1,Christmas Day
2024-12-25,Sint Maarten,1,Christmas Day
2024-12-25,Slovakia,1,Christmas Day
2024-12-25,Slovenia,1,Christmas Day
2024-12-25,Solomon Islands,1,Christmas Day
2024-12-25,South Africa,1,Christmas Day
2024-12-25,South Korea,1,Christmas Day
2024-12-25,South Sudan,1,Christmas Day
2024-12-25,Spain,1,Christmas Day
2024-12-25,St. Barts,1,Christmas Day
2024-12-25,Sudan,1,Christmas Day
2024-12-25,Suriname,1,Christmas Day
2024-12-25,Sweden,1,Christmas Day
2024-12-25,Syria,1,Christmas Day
2024-12-25,Tanzania,1,Christmas Day
2024-12-25,The Bahamas,1,Christmas Day
2024-12-25,Togo,1,Christmas Day
2024-12-25,Tonga,1,Christmas Day
2024-12-25,Trinidad and Tobago,1,Christmas Day
2024-12-25,Turks and Caicos Islands,1,Christmas Day
2024-12-25,Tuvalu,1,Christmas Day
2024-12-25,Uganda,1,Christmas Day
2024-12-25,Ukraine,1,Catholic Christmas Day
2024-12-25,United Kingdom,1,Christmas Day
2024-12-25,Uruguay,1,Christmas Day
2024-12-25,US,1,Christmas Day
2024-12-25,US Virgin Islands,1,Christmas Day
2024-12-25,Vanuatu,1,Christmas Day
2024-12-25,Vatican City (Holy See),1,Christmas Day
2024-12-25,Venezuela,1,Christmas Day
2024-12-25,Wallis and Futuna,1,Christmas Day
2024-12-25,Zambia,1,Christmas Day
2024-12-25,Zimbabwe,1,Christmas Day
2024-12-24,Brazil,1,Christmas Eve (from 2pm)
2024-12-24,Bulgaria,1,Christmas Eve
2024-12-24,Czechia,1,Christmas Eve
2024-12-24,Estonia,1,Christmas Eve
2024-12-24,Faroe Islands,1,Christmas Eve
2024-12-24,Finland,1,Christmas Eve
2024-12-24,Guatemala,1,Christmas Eve
2024-12-24,Iceland,1,Christmas Eve (from noon)
2024-12-24,Latvia,1,Christmas Eve
2024-12-24,Libya,1,Independence Day
2024-12-24,Lithuania,1,Christmas Eve
2024-12-24,Slovakia,1,Christmas Eve
2024-12-24,Venezuela,1,Christmas Eve
2024-12-23,Zimbabwe,1,Unity Day observed
2024-12-22,Zimbabwe,1,Unity Day
2024-12-21,Sao Tome and Principe,1,Sao Tome Day
2024-12-20,Macau,1,Macau S.A.R. Establishment Day
2024-12-20,Reunion,1,Abolition of Slavery
2024-12-20,Sao Tome and Principe,1,Day off for Sao Tome Day
2024-12-19,Anguilla,1,National Heroes and Heroines Day
2024-12-18,Niger,1,Nigerien Republic Day
2024-12-18,Qatar,1,National Day
2024-12-17,Bahrain,1,National Day (second day)
2024-12-17,Kazakhstan,1,Independence Day Holiday
2024-12-16,Bahrain,1,National Day
2024-12-16,Kazakhstan,1,Independence Day
2024-12-16,South Africa,1,Day of Reconciliation
2024-12-13,Malta,1,Republic Day
2024-12-13,Saint Lucia,1,National Day
2024-12-12,Kenya,1,Jamhuri Day
2024-12-12,Turkmenistan,1,Day of Neutrality
2024-12-11,Burkina Faso,1,Proclamation of Independence Day
2024-12-11,Kiribati,1,Human Rights and Peace Day
2024-12-10,Iraq,1,Anniversary of Victory over ISIS
2024-12-10,Namibia,1,Day of the Namibian Women and International Human Rights Day
2024-12-10,Thailand,1,Constitution Day
2024-12-09,Albania,1,National Youth Day observed
2024-12-09,Antigua and Barbuda,1,National Heroes Day
2024-12-09,Equatorial Guinea,1,Feast of the Immaculate Conception observed
2024-12-09,Falkland Islands,1,Battle Day observed
2024-12-09,Guam,1,Santa Marian Kamalen Day observed
2024-12-09,Myanmar,1,National Day
2024-12-09,North Macedonia,1,Saint Kliment Ohridski`s Day observed
2024-12-09,Northern Mariana Islands,1,Day off for Constitution Day
2024-12-09,Seychelles,1,Day off for Immaculate Conception
2024-12-09,Spain,1,Immaculate Conception observed
2024-12-09,Tanzania,1,Independence Day
2024-12-08,Albania,1,National Youth Day
2024-12-08,Andorra,1,Feast of the Immaculate Conception
2024-12-08,Argentina,1,Feast of the Immaculate Conception
2024-12-08,Austria,1,Immaculate Conception
2024-12-08,Chile,1,Inmaculate Conception Day
2024-12-08,Colombia,1,Feast of the Immaculate Conception
2024-12-08,East Timor,1,Day of Our Lady of Immaculate Conception
2024-12-08,Equatorial Guinea,1,Feast of the Immaculate Conception
2024-12-08,Falkland Islands,1,Battle Day
2024-12-08,Guam,1,Santa Marian Kamalen Day
2024-12-08,Italy,1,Feast of the Immaculate Conception
2024-12-08,Liechtenstein,1,Feast of the Immaculate Conception
2024-12-08,Macau,1,Feast of the Immaculate Conception
2024-12-08,Malta,1,Feast of the Immaculate Conception
2024-12-08,Monaco,1,Feast of the Immaculate Conception
2024-12-08,Nicaragua,1,Feast of the Immaculate Conception
2024-12-08,North Macedonia,1,Saint Kliment Ohridski`s Day
2024-12-08,Northern Mariana Islands,1,Constitution Day
2024-12-08,Panama,1,Mother`s Day
2024-12-08,Paraguay,1,Virgin of Caacupe Day
2024-12-08,Peru,1,Feast of the Immaculate Conception
2024-12-08,Portugal,1,Feast of the Immaculate Conception
2024-12-08,San Marino,1,Feast of the Immaculate Conception
2024-12-08,Seychelles,1,Immaculate Conception
2024-12-08,Spain,1,Immaculate Conception
2024-12-08,Uzbekistan,1,Constitution Day
2024-12-08,Vatican City (Holy See),1,Feast of the Immaculate Conception
2024-12-07,East Timor,1,Day of Remembrance
2024-12-06,Finland,1,Independence Day
2024-12-06,Ghana,1,Farmer`s Day
2024-12-06,Marshall Islands,1,Gospel Day
2024-12-05,Iran,1,Martyrdom of Fatima
2024-12-05,Thailand,1,King Bhumibol`s Birthday/Father`s Day
2024-12-04,Tonga,1,Anniversary of the Coronation of King Tupou I
2024-12-02,Chad,1,Freedom and Democracy Day observed
2024-12-02,Kazakhstan,1,Day off for Day of the First President of the Republic of Kazakhstan
2024-12-02,Laos,1,National Day
2024-12-02,Tonga,1,Day off for Anniversary of the Coronation of King Tupou I
2024-12-01,Central African Republic,1,Republic Day
2024-12-01,Chad,1,Freedom and Democracy Day
2024-12-01,Costa Rica,1,Day of Abolition of the Army
2024-12-01,Kazakhstan,1,Day of the First President of the Republic of Kazakhstan
2024-12-01,Mexico,1,Inauguration day
2024-12-01,Portugal,1,Restoration of Independence
2024-12-01,Romania,1,National holiday
2024-11-30,Barbados,1,Independence Day
2024-11-30,Philippines,1,Bonifacio Day
2024-11-30,Romania,1,St Andrew`s Day
2024-11-30,Yemen,1,Independence Day
2024-11-29,Albania,1,Liberation Day
2024-11-29,Liberia,1,William Tubmans Birthday
2024-11-29,Turks and Caicos Islands,1,Thanksgiving Day
2024-11-29,Vanuatu,1,Unity Day
2024-11-28,Albania,1,Flag and Independence Day
2024-11-28,American Samoa,1,Thanksgiving
2024-11-28,Chad,1,Proclamation of the Republic
2024-11-28,Congo,1,Republic Day
2024-11-28,Guam,1,Thanksgiving
2024-11-28,Mauritania,1,Independence Day
2024-11-28,Northern Mariana Islands,1,Thanksgiving Day
2024-11-28,Palau,1,Thanksgiving
2024-11-28,Panama,1,Independence from Spain
2024-11-28,Puerto Rico,1,Thanksgiving Day
2024-11-28,US,1,Thanksgiving Day
2024-11-28,US Virgin Islands,1,Thanksgiving Day
2024-11-26,Mongolia,1,Republic`s Day
2024-11-25,Suriname,1,Independence Day
2024-11-23,Georgia,1,St George`s Day
2024-11-23,Micronesia,1,Presidents Day
2024-11-22,Lebanon,1,Independence Day
2024-11-22,Micronesia,1,Presidents Day observed
2024-11-22,Palau,1,Family Day
2024-11-19,Belize,1,Garifuna Settlement Day
2024-11-19,Monaco,1,National Day
2024-11-18,Argentina,1,National Sovereignty Day
2024-11-18,Croatia,1,Remembrance Day
2024-11-18,Haiti,1,Vertieres Day
2024-11-18,Latvia,1,Republic of Latvia Proclamation Day
2024-11-18,Marshall Islands,1,President`s Day observed
2024-11-18,Mexico,1,Revolution Day Memorial
2024-11-18,Morocco,1,Independence Day
2024-11-18,Oman,1,National Day
2024-11-17,Czechia,1,Struggle for Freedom and Democracy Day
2024-11-17,Marshall Islands,1,President`s Day
2024-11-17,Slovakia,1,Fight for Freedom and Democracy Day
2024-11-16,Cambodia,1,Water Festival Ceremony (Day 3)
2024-11-16,Myanmar,1,Full Moon Day of Tazaungmone
2024-11-16,North Korea,1,Mother`s Day
2024-11-15,Brazil,1,Republic Proclamation Day
2024-11-15,Cambodia,1,Water Festival Ceremony (Day 2)
2024-11-15,Cote d`Ivoire,1,National Peace Day
2024-11-15,India,1,Guru Nanak Jayanti
2024-11-15,Myanmar,1,Full Moon Day of Tazaungmone Holiday
2024-11-14,Cambodia,1,Water Festival Ceremony (Day 1)
2024-11-14,Guinea-Bissau,1,Readjustment Movement Day
2024-11-12,Comoros,1,Maore Day
2024-11-12,East Timor,1,Youth National Day
2024-11-11,American Samoa,1,Veterans` Day
2024-11-11,Angola,1,Independence Day
2024-11-11,Belgium,1,Armistice Day
2024-11-11,Bermuda,1,Remembrance Day
2024-11-11,Canada,1,Remembrance Day
2024-11-11,Cayman Islands,1,Remembrance Day
2024-11-11,Colombia,1,Independence of Cartagena
2024-11-11,France,1,Armistice Day
2024-11-11,French Guiana,1,Armistice Day
2024-11-11,French Polynesia,1,Armistice Day
2024-11-11,Guam,1,Veterans Day
2024-11-11,Maldives,1,Republic Day
2024-11-11,Martinique,1,Armistice Day
2024-11-11,Micronesia,1,Veterans of Foreign Wars Day
2024-11-11,New Caledonia,1,Armistice Day
2024-11-11,Northern Mariana Islands,1,Veterans Day
2024-11-11,Poland,1,Independence Day
2024-11-11,Reunion,1,Armistice Day
2024-11-11,Saint Martin,1,Saint Martin`s Day
2024-11-11,Saint Pierre and Miquelon,1,Armistice Day
2024-11-11,Serbia,1,Armistice Day
2024-11-11,Sint Maarten,1,Sint Maarten`s Day
2024-11-11,St. Barts,1,Armistice Day
2024-11-11,Tuvalu,1,Heir to the Throne`s Birthday
2024-11-11,US,1,Veterans Day
2024-11-11,US Virgin Islands,1,Veterans Day
2024-11-11,Wallis and Futuna,1,Armistice Day
2024-11-10,Panama,1,Shout in Villa de los Santos
2024-11-09,Cambodia,1,Independence Day
2024-11-08,Kyrgyzstan,1,Days of History and Memory of Ancestors Holiday
2024-11-07,Belarus,1,October Revolution Day
2024-11-07,Kyrgyzstan,1,Days of History and Memory of Ancestors
2024-11-07,Liberia,1,Thanksgiving
2024-11-06,Morocco,1,Anniversary of the Green March
2024-11-06,Tajikistan,1,Constitution Day
2024-11-05,Dominica,1,Community Service Day observed
2024-11-05,Panama,1,Colon Day
2024-11-04,Colombia,1,Day off for All Saints` Day
2024-11-04,Dominica,1,Independence Day observed
2024-11-04,Dominica,2,Community Service Day
2024-11-04,Dominican Republic,1,Constitution Day
2024-11-04,Ecuador,1,Day off for Independence of Cuenca
2024-11-04,Micronesia,1,Independence Day observed
2024-11-04,Northern Mariana Islands,1,Citizenship Day
2024-11-04,Panama,1,National Symbols Day
2024-11-04,Russia,1,Unity Day
2024-11-04,Tonga,1,Constitution Day
2024-11-03,Dominica,1,Independence Day
2024-11-03,Maldives,1,Victory Day
2024-11-03,Micronesia,1,Independence Day
2024-11-03,Panama,1,Independence Day
2024-11-02,Angola,1,All Souls` Day
2024-11-02,Bolivia,1,All Saints Day
2024-11-02,Brazil,1,All Souls` Day
2024-11-02,East Timor,1,All Souls` Day
2024-11-02,El Salvador,1,All Saints Day
2024-11-02,Finland,1,All Saints` Day
2024-11-02,Guam,1,All Souls` Day
2024-11-02,Lithuania,1,All Souls` Day
2024-11-02,Macau,1,All Soul`s Day
2024-11-02,Mauritius,1,Arrival of Indentured Labourers
2024-11-02,San Marino,1,All Saints` Day
2024-11-02,Sweden,1,All Saints` Day
2024-11-02,Vatican City (Holy See),1,All Souls` Day
2024-11-01,Algeria,1,Anniversary of the Revolution
2024-11-01,Andorra,1,All Saints` Day
2024-11-01,Antigua and Barbuda,1,Independence Day
2024-11-01,Austria,1,All Saints` Day
2024-11-01,Belgium,1,All Saints` Day
2024-11-01,Benin,1,All Saints` Day
2024-11-01,Burkina Faso,1,All Saints
2024-11-01,Burundi,1,All Saints` Day
2024-11-01,Cabo Verde,1,All Saints` Day
2024-11-01,Central African Republic,1,All Saints` Eve
2024-11-01,Chad,1,All Saints` Day
2024-11-01,Chile,1,All Saints` Day
2024-11-01,Colombia,1,All Saints` Day
2024-11-01,Congo,1,All Saints` Eve
2024-11-01,Cote d`Ivoire,1,All Saints Day
2024-11-01,Croatia,1,All Saints` Day
2024-11-01,East Timor,1,All Saints` Day
2024-11-01,Fiji,1,Diwali
2024-11-01,France,1,All Saints` Day
2024-11-01,French Guiana,1,All Saints` Day
2024-11-01,French Polynesia,1,All Saints` Day
2024-11-01,Gabon,1,All Saints` Eve
2024-11-01,Guam,1,All Souls` Day observed
2024-11-01,Guatemala,1,All Saints` Day
2024-11-01,Hungary,1,All Saints` Day
2024-11-01,India,1,Diwali/Deepavali
2024-11-01,Italy,1,All Saints` Day
2024-11-01,Liechtenstein,1,All Saints` Day
2024-11-01,Lithuania,1,All Saints` Day
2024-11-01,Luxembourg,1,All Saints` Day
2024-11-01,Madagascar,1,All Saints` Day
2024-11-01,Martinique,1,All Saints` Day
2024-11-01,Mauritius,1,Divali
2024-11-01,Monaco,1,All Saints` Day
2024-11-01,Myanmar,1,Diwali/Deepavali
2024-11-01,New Caledonia,1,All Saints` Day
2024-11-01,Peru,1,All Saints` Day
2024-11-01,Philippines,1,All Saints` Day
2024-11-01,Poland,1,All Saints` Day
2024-11-01,Portugal,1,All Saints` Day
2024-11-01,Reunion,1,All Saints` Day
2024-11-01,Saint Pierre and Miquelon,1,All Saints` Day
2024-11-01,San Marino,1,All Saints` Day
2024-11-01,Senegal,1,All Saints` Day
2024-11-01,Seychelles,1,All Saints` Day
2024-11-01,Singapore,1,Diwali/Deepavali
2024-11-01,Slovakia,1,All Saints` Day
2024-11-01,Slovenia,1,Remembrance Day
2024-11-01,St. Barts,1,All Saints` Day
2024-11-01,Togo,1,All Saints` Day
2024-11-01,US Virgin Islands,1,Liberty Day
2024-11-01,Vatican City (Holy See),1,All Saints` Day
2024-11-01,Venezuela,1,All Saints Day
2024-11-01,Wallis and Futuna,1,All Saints` Day
2024-10-31,Chile,1,Reformation Day
2024-10-31,Ecuador,1,Day off for All Souls` Day
2024-10-31,Slovenia,1,Reformation Day
2024-10-31,Suriname,1,Diwali
2024-10-31,Trinidad and Tobago,1,Diwali/Deepavali
2024-10-29,Cambodia,1,King`s Coronation Day
2024-10-29,Turkey,1,Republic Day
2024-10-28,Brazil,1,Public Service Holiday
2024-10-28,Cook Islands,1,Gospel Day observed
2024-10-28,Cyprus,1,Ochi Day
2024-10-28,Czechia,1,Independent Czechoslovak State Day
2024-10-28,Greece,1,The Ochi day
2024-10-28,Ireland,1,October Bank Holiday
2024-10-28,Nauru,1,Angam Day observed
2024-10-28,New Zealand,1,Labour Day
2024-10-27,Saint Vincent and the Grenadines,1,Independence Day
2024-10-26,Austria,1,National Day
2024-10-26,Cook Islands,1,Gospel Day
2024-10-26,Nauru,1,Angam Day
2024-10-25,Grenada,1,Thanksgiving
2024-10-24,Israel,1,Shemini Atzeret / Simchat Torah
2024-10-24,Micronesia,1,United Nations Day
2024-10-24,Palau,1,United Nations Day
2024-10-24,Zambia,1,Independence Day
2024-10-23,Hungary,1,1956 Revolution Memorial Day
2024-10-23,Libya,1,Liberation Day
2024-10-23,North Macedonia,1,Day of the Macedonian Revolutionary Struggle
2024-10-23,Thailand,1,Chulalongkorn Day
2024-10-21,Burundi,1,President Ndadaye`s Day
2024-10-21,Honduras,1,Army Day
2024-10-21,Jamaica,1,National Heroes` Day
2024-10-21,Kenya,1,Mashujaa Day observed
2024-10-20,Guatemala,1,Revolution of 1944
2024-10-20,Kenya,1,Mashujaa Day
2024-10-18,Myanmar,1,Full Moon Day of Thadingyut Holiday (End of Buddhist Lent)
2024-10-18,Zambia,1,Prayer Day
2024-10-17,Bolivia,1,Day of Dignity
2024-10-17,Haiti,1,Dessalines Day
2024-10-17,Israel,1,Sukkot (Day 1)
2024-10-17,Myanmar,1,Full Moon Day of Thadingyut (End of Buddhist Lent)
2024-10-16,Myanmar,1,Full Moon Day of Thadingyut Holiday (End of Buddhist Lent)
2024-10-15,Cambodia,1,Commemoration Day of King`s Father
