Seq,Region,Rdate,social_distancing
1949,광주광역시,2020-07-03,2
1950,광주광역시,2020-07-04,2
1951,광주광역시,2020-07-05,2
1952,광주광역시,2020-07-06,2
1953,광주광역시,2020-07-07,2
1954,광주광역시,2020-07-08,2
1955,광주광역시,2020-07-09,2
1956,광주광역시,2020-07-10,2
1957,광주광역시,2020-07-11,2
1958,광주광역시,2020-07-12,2
1959,광주광역시,2020-07-13,2
1960,광주광역시,2020-07-14,2
1961,광주광역시,2020-07-15,2
1962,광주광역시,2020-07-16,2
1963,광주광역시,2020-07-17,2
1964,광주광역시,2020-07-18,2
1965,광주광역시,2020-07-19,2
1966,광주광역시,2020-07-20,2
1967,광주광역시,2020-07-21,2
1968,광주광역시,2020-07-22,2
1969,광주광역시,2020-07-23,2
1970,광주광역시,2020-07-24,2
1971,광주광역시,2020-07-25,2
1972,광주광역시,2020-07-26,2
1973,광주광역시,2020-07-27,2
1974,광주광역시,2020-07-28,2
1975,광주광역시,2020-07-29,2
1976,광주광역시,2020-07-30,2
1977,광주광역시,2020-07-31,2
1978,광주광역시,2020-08-01,2
1979,광주광역시,2020-08-02,2
1980,광주광역시,2020-08-03,1
1981,광주광역시,2020-08-04,1
1982,광주광역시,2020-08-05,1
1983,광주광역시,2020-08-06,1
1984,광주광역시,2020-08-07,1
1985,광주광역시,2020-08-08,1
1986,광주광역시,2020-08-09,1
1987,광주광역시,2020-08-10,1
1988,광주광역시,2020-08-11,1
1989,광주광역시,2020-08-12,1
1990,광주광역시,2020-08-13,1
1991,광주광역시,2020-08-14,1
1992,광주광역시,2020-08-15,1
1993,광주광역시,2020-08-16,1
1994,광주광역시,2020-08-17,1
1995,광주광역시,2020-08-18,1
1996,광주광역시,2020-08-19,1
1997,광주광역시,2020-08-20,1
1998,광주광역시,2020-08-21,1
1999,광주광역시,2020-08-22,1
2000,광주광역시,2020-08-23,2
2001,광주광역시,2020-08-24,2
2002,광주광역시,2020-08-25,2
2003,광주광역시,2020-08-26,2
2004,광주광역시,2020-08-27,3
2005,광주광역시,2020-08-28,3
2006,광주광역시,2020-08-29,3
2007,광주광역시,2020-08-30,3
2008,광주광역시,2020-08-31,3
2009,광주광역시,2020-09-01,3
2010,광주광역시,2020-09-02,3
2011,광주광역시,2020-09-03,3
2012,광주광역시,2020-09-04,3
2013,광주광역시,2020-09-05,3
2014,광주광역시,2020-09-06,3
2015,광주광역시,2020-09-07,3
2016,광주광역시,2020-09-08,3
2017,광주광역시,2020-09-09,3
2018,광주광역시,2020-09-10,3
2019,광주광역시,2020-09-11,3
2020,광주광역시,2020-09-12,3
2021,광주광역시,2020-09-13,3
2022,광주광역시,2020-09-14,3
2023,광주광역시,2020-09-15,2
2024,광주광역시,2020-09-16,2
2025,광주광역시,2020-09-17,2
2026,광주광역시,2020-09-18,2
