tDate,NewSum,NewInflowChina,NewInflowAsia,NewInflowEU,NewInflowAmerica,NewInflowAfrica,NewInflowOS,NewConfirmQuarantine,NewConfirmSocial,NewNationalityLocal,NewNationalityForeigner,AccSum,AccInflowChina,AccInflowAsia,AccInflowEU,AccInflowAmerica,AccInflowAfrica,AccInflowOS,AccConfirmQuarantine,AccConfirmSocial,AccNationalityLocal,AccNationalityForeigner
2020-11-26,30,1,11,6,8,4,0,12,18,14,16,4504,28,2209,801,1311,137,18,2144,2360,2422,2082
2020-11-27,44,0,4,19,20,1,0,31,13,13,31,4548,28,2213,820,1331,138,18,2175,2373,2435,2113
2020-11-28,18,0,8,2,8,0,0,3,15,8,10,4551,28,2221,812,1334,138,18,2164,2387,2443,2108
2020-11-29,37,2,12,9,13,1,0,17,20,27,10,4587,30,2233,821,1346,139,18,2181,2406,2470,2117
2020-11-30,24,0,12,6,6,0,0,10,14,10,14,4550,30,2205,827,1334,136,18,2130,2420,2480,2070
2020-12-01,31,0,6,5,19,1,0,14,17,15,16,4581,30,2211,832,1353,137,18,2144,2437,2495,2086
2020-12-02,18,0,8,4,5,1,0,6,12,11,7,4599,30,2219,836,1358,138,18,2150,2449,2506,2093
2020-12-03,24,0,10,4,9,1,0,13,11,8,16,4623,30,2229,840,1367,139,18,2163,2460,2514,2109
2020-12-04,29,0,18,2,9,0,0,18,11,12,17,4652,30,2247,842,1376,139,18,2181,2471,2526,2126
2020-12-05,24,0,12,3,9,0,0,12,12,8,16,4676,30,2259,846,1384,139,18,2193,2483,2534,2142
2020-12-06,32,0,13,6,12,1,0,12,20,16,16,4708,30,2273,852,1395,140,18,2205,2503,2550,2158
2020-12-07,35,0,14,9,12,0,0,10,25,22,13,4743,30,2286,861,1408,140,18,2215,2528,2572,2171
2020-12-08,28,0,7,1,17,2,1,7,21,12,16,4772,30,2294,862,1425,142,19,2222,2550,2584,2188
2020-12-09,24,0,5,8,11,0,0,9,15,20,4,4789,30,2292,870,1437,142,18,2231,2558,2606,2183
2020-12-10,36,0,10,7,19,0,0,16,20,22,14,4825,30,2301,878,1456,142,18,2240,2585,2627,2198
2020-12-11,16,0,5,3,4,4,0,7,9,5,11,4842,30,2307,881,1460,146,18,2247,2595,2632,2210
2020-12-12,22,0,8,5,7,2,0,12,10,13,9,4864,30,2315,886,1467,148,18,2259,2605,2645,2219
2020-12-13,28,1,13,5,6,3,0,14,14,17,11,4892,31,2328,891,1473,151,18,2273,2619,2662,2230
2020-12-14,36,0,21,2,8,5,0,17,19,22,14,4930,31,2349,893,1481,157,19,2290,2640,2685,2245
2020-12-15,32,1,4,6,19,2,0,8,24,11,21,4962,32,2353,899,1500,159,19,2298,2664,2696,2266
2020-12-16,24,0,11,2,10,1,0,6,18,13,11,4986,32,2364,901,1510,160,19,2304,2682,2710,2276
2020-12-17,21,0,7,5,7,2,0,7,14,11,10,5006,32,2370,906,1517,162,19,2311,2695,2720,2286
2020-12-18,26,0,9,2,13,1,1,9,17,17,9,5032,32,2379,908,1530,163,20,2320,2712,2737,2295
2020-12-19,24,2,5,2,14,1,0,4,20,13,11,5057,34,2385,910,1544,164,20,2324,2733,2751,2306
2020-12-20,25,0,9,6,10,0,0,9,16,18,7,5082,34,2394,916,1554,164,20,2333,2749,2769,2313
2020-12-21,34,0,13,8,13,0,0,10,24,21,13,5116,34,2407,924,1567,164,20,2343,2773,2790,2326
2020-12-22,45,0,20,4,19,2,0,18,27,24,21,5161,34,2427,928,1586,166,20,2361,2800,2814,2347
2020-12-23,32,0,17,8,6,0,1,9,23,21,11,5193,34,2444,936,1592,166,21,2370,2823,2835,2358
2020-12-24,30,1,11,3,15,0,0,11,19,16,14,5223,35,2455,939,1607,166,21,2381,2842,2851,2372
2020-12-25,25,0,12,2,9,2,0,6,19,15,10,5245,33,2467,941,1615,168,21,2387,2858,2864,2381
2020-12-26,28,0,12,4,11,1,0,10,18,19,9,5273,33,2479,945,1626,169,21,2397,2876,2883,2390
2020-12-27,24,0,18,1,4,1,0,10,14,15,9,5297,33,2497,946,1630,170,21,2407,2890,2898,2399
2020-12-28,21,0,10,5,5,1,0,8,13,12,9,5318,33,2507,951,1635,171,21,2415,2903,2910,2408
2020-12-29,16,0,10,3,3,0,0,5,11,6,10,5334,33,2517,954,1638,171,21,2420,2914,2916,2418
2020-12-30,25,0,12,3,10,0,0,11,14,15,10,5358,33,2528,957,1648,171,21,2431,2927,2931,2427
2020-12-31,27,0,13,7,7,0,0,13,14,14,13,5385,33,2541,964,1655,171,21,2444,2941,2945,2440
2021-01-01,25,1,6,5,10,2,1,4,21,13,12,5410,34,2547,969,1665,173,22,2448,2962,2958,2452
2021-01-02,36,0,17,4,14,1,0,14,22,21,15,5446,34,2564,973,1679,174,22,2462,2984,2979,2467
2021-01-03,16,0,5,4,7,0,0,8,8,14,2,5462,34,2569,977,1686,174,22,2470,2992,2993,2469
2021-01-04,35,0,14,2,18,1,0,11,24,22,13,5497,34,2583,979,1704,175,22,2481,3016,3015,2482
2021-01-05,43,0,9,6,25,3,0,16,27,15,28,5539,34,2592,985,1728,178,22,2497,3042,3030,2509
2021-01-06,31,0,9,1,21,0,0,6,25,15,16,5569,34,2601,985,1749,178,22,2502,3067,3045,2524
2021-01-07,37,0,17,3,14,3,0,14,23,26,11,5606,34,2618,988,1763,181,22,2516,3090,3071,2535
2021-01-08,41,0,9,3,27,2,0,6,35,10,31,5647,34,2627,991,1790,183,22,2522,3125,3081,2566
2021-01-09,45,0,11,1,29,4,0,10,35,25,20,5692,34,2638,992,1819,187,22,2532,3160,3106,2586
2021-01-10,34,0,19,5,7,3,0,14,20,23,11,5727,34,2658,997,1826,190,22,2546,3181,3129,2598
2021-01-11,32,0,10,5,13,4,0,11,21,17,15,5759,34,2668,1002,1839,194,22,2557,3202,3146,2613
2021-01-12,29,0,4,4,20,1,0,8,21,8,21,5788,34,2672,1006,1859,195,22,2565,3223,3154,2634
2021-01-13,26,0,10,2,14,0,0,3,23,16,10,5814,34,2682,1008,1873,195,22,2568,3246,3170,2644
2021-01-14,28,0,12,1,8,7,0,11,17,19,9,5842,34,2694,1009,1881,202,22,2579,3263,3189,2653
2021-01-15,29,0,7,0,16,6,0,5,24,22,7,5869,34,2701,1009,1895,208,22,2584,3285,3211,2658
2021-01-16,33,0,19,5,5,4,0,8,25,13,20,5902,34,2720,1014,1900,212,22,2592,3310,3224,2678
2021-01-17,20,0,8,5,7,0,0,8,12,12,8,5922,34,2728,1019,1907,212,22,2600,3322,3236,2686
2021-01-18,23,0,12,2,8,1,0,10,13,11,12,5945,34,2740,1021,1915,213,22,2610,3335,3247,2698
2021-01-19,35,0,12,3,17,3,0,8,27,18,17,5980,34,2752,1024,1932,216,22,2618,3362,3265,2715
2021-01-20,31,0,8,6,11,6,0,1,30,13,18,6011,34,2760,1030,1943,222,22,2619,3392,3278,2733
2021-01-21,21,0,3,7,8,3,0,6,15,10,11,6031,34,2762,1037,1951,225,22,2624,3407,3287,2744
2021-01-22,32,0,7,2,18,5,0,9,23,22,10,6062,34,2769,1039,1968,230,22,2633,3429,3309,2753
2021-01-23,28,0,10,6,10,2,0,12,16,16,12,6089,34,2779,1044,1978,232,22,2644,3445,3325,2764
2021-01-24,23,0,11,7,3,2,0,9,14,12,11,6112,34,2790,1051,1981,234,22,2653,3459,3337,2775
2021-01-25,32,1,11,8,8,4,0,11,21,19,13,6144,35,2801,1059,1989,238,22,2664,3480,3356,2788
2021-01-26,16,0,5,4,5,1,1,6,10,9,7,6160,35,2806,1063,1994,239,23,2670,3490,3365,2795
2021-01-27,43,0,7,7,28,1,0,12,31,22,21,6203,35,2813,1070,2022,240,23,2682,3521,3387,2816
2021-01-28,18,0,3,5,8,2,0,7,11,14,4,6221,35,2816,1075,2030,242,23,2689,3532,3401,2820
2021-01-29,24,0,7,3,13,1,0,9,15,15,9,6245,35,2823,1078,2043,243,23,2698,3547,3416,2829
2021-01-30,35,0,17,2,14,2,0,15,20,16,19,6278,35,2839,1080,2056,245,23,2711,3567,3431,2847
2021-01-31,30,0,12,3,13,2,0,15,15,24,6,6308,35,2851,1083,2069,247,23,2726,3582,3455,2853
2021-02-01,20,0,8,4,5,3,0,6,14,13,7,6328,35,2859,1087,2074,250,23,2732,3596,3468,2860
2021-02-02,41,0,17,7,14,3,0,12,29,23,18,6369,35,2876,1094,2088,253,23,2744,3625,3491,2878
2021-02-03,34,3,8,15,5,3,0,17,17,21,13,6403,38,2884,1109,2093,256,23,2761,3642,3512,2891
2021-02-04,22,0,6,3,12,1,0,6,16,10,12,6425,38,2890,1112,2105,257,23,2767,3658,3522,2903
2021-02-05,19,0,8,3,5,3,0,7,12,8,11,6444,38,2898,1115,2110,260,23,2774,3670,3530,2914
2021-02-06,27,0,11,3,12,1,0,11,16,10,17,6472,38,2910,1118,2122,261,23,2785,3687,3541,2931
2021-02-07,46,1,19,3,13,10,0,27,19,25,21,6519,39,2930,1121,2135,271,23,2812,3707,3567,2952
2021-02-08,25,1,9,6,3,6,0,9,16,12,13,6544,40,2939,1127,2138,277,23,2821,3723,3579,2965
2021-02-09,30,0,8,9,11,2,0,11,19,13,17,6574,40,2946,1136,2149,280,23,2832,3742,3592,2982
2021-02-10,30,0,9,9,9,3,0,6,24,16,14,6603,39,2955,1145,2158,283,23,2837,3766,3609,2994
2021-02-11,37,0,15,7,14,1,0,15,22,20,17,6640,39,2970,1152,2172,284,23,2852,3788,3629,3011
2021-02-12,19,0,9,1,7,2,0,6,13,13,6,6659,39,2979,1153,2179,286,23,2858,3801,3642,3017
2021-02-13,17,0,9,0,6,2,0,5,12,6,11,6676,39,2988,1153,2185,288,23,2863,3813,3648,3028
2021-02-14,22,0,6,5,8,3,0,7,15,13,9,6698,39,2994,1158,2193,291,23,2870,3828,3661,3037
2021-02-15,21,0,7,6,5,3,0,6,15,9,12,6719,39,3001,1164,2198,294,23,2876,3843,3670,3049
2021-02-16,28,0,13,9,6,0,0,8,20,11,17,6747,39,3014,1173,2204,294,23,2884,3863,3681,3066
2021-02-17,31,1,7,9,8,6,0,6,25,6,25,6778,40,3021,1182,2212,300,23,2890,3888,3687,3091
2021-02-18,31,0,10,6,14,1,0,12,19,19,12,6809,40,3031,1188,2226,301,23,2902,3907,3706,3103
2021-02-19,28,0,15,4,7,2,0,10,18,17,11,6837,40,3046,1192,2233,303,23,2912,3925,3723,3114
2021-02-20,32,0,14,6,6,6,0,7,25,10,22,6869,40,3060,1198,2239,309,23,2919,3950,3733,3136
2021-02-21,25,0,12,5,4,4,0,8,17,14,11,6894,40,3072,1203,2243,313,23,2927,3967,3747,3147
2021-02-22,19,0,8,2,7,2,0,4,15,7,12,6913,40,3080,1205,2250,315,23,2931,3982,3754,3159
2021-02-23,27,0,11,6,8,2,0,5,22,10,17,6940,40,3091,1211,2258,317,23,2936,4004,3764,3176
2021-02-24,23,0,11,1,9,2,0,4,19,10,13,6963,40,3102,1212,2267,319,23,2940,4023,3774,3189
2021-02-25,27,0,11,5,8,3,0,10,17,20,7,6990,40,3113,1217,2275,322,23,2950,4040,3794,3196
2021-02-26,24,0,11,4,5,4,0,8,16,10,14,7014,40,3124,1221,2280,326,23,2958,4056,3806,3208
2021-02-27,10,0,6,0,3,1,0,3,7,1,9,7024,40,3130,1221,2283,327,23,2961,4063,3807,3217
2021-02-28,22,0,7,6,4,5,0,9,13,3,19,7046,40,3137,1227,2287,332,23,2970,4076,3810,3236
2021-03-01,17,0,11,1,3,2,0,5,12,9,8,7063,40,3148,1228,2290,334,23,2975,4088,3819,3244
2021-03-02,25,0,9,3,9,4,0,9,16,12,13,7088,40,3157,1231,2299,338,23,2984,4104,3831,3257
2021-03-03,18,0,8,4,6,0,0,2,16,9,9,7106,40,3165,1235,2305,338,23,2986,4120,3840,3266
2021-03-04,23,0,10,3,8,2,0,6,17,9,14,7129,40,3175,1238,2313,340,23,2992,4137,3849,3280
2021-03-05,17,0,7,0,7,3,0,4,13,8,9,7146,40,3182,1238,2320,343,23,2996,4150,3857,3289
2021-03-06,14,0,8,0,4,2,0,6,8,7,7,7160,40,3190,1238,2324,345,23,3002,4158,3864,3296
2021-03-07,17,0,9,2,5,1,0,5,12,6,11,7177,40,3199,1240,2329,346,23,3008,4169,3871,3306
2021-03-08,11,0,7,1,1,2,0,5,6,5,6,7188,40,3206,1241,2330,348,23,3012,4176,3875,3313
2021-03-09,19,0,7,0,10,2,0,4,15,11,8,7207,40,3213,1241,2340,350,23,3016,4191,3886,3321
2021-03-10,18,0,8,1,8,1,0,5,13,9,9,7225,40,3221,1242,2348,351,23,3021,4204,3895,3330
