 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2021-09-23,Malta,,1,1,1,1,,,,1
2021-09-23,Mauritania,,,,,,,,,
2021-09-23,Mauritius,,1,1,1,1,,,,1
2021-09-23,Mexico,,,,,,,,,
2021-09-23,Moldova,,,,,,,,,
2021-09-23,Monaco,,,1,1,1,,,,1
2021-09-23,Mongolia,,0,0,0,1,,0,0,1
2021-09-23,Morocco,,,,,,,,,
2021-09-23,Mozambique,,,1,1,1,1,0,,1
2021-09-23,Myanmar,,0,0,0,0,1,0,1,1
2021-09-23,Namibia,,,1,1,1,1,1,,1
2021-09-23,Nepal,,0,1,1,0,1,1,1,1
2021-09-23,Netherlands,,1,1,1,,1,,,1
2021-09-23,New Zealand,,0,0,0,0,0,0,0,1
2021-09-23,Nicaragua,,,,,,,,,
2021-09-23,Niger,,,,,,,,,
2021-09-23,Nigeria,,,,,,,,,
2021-09-23,Norway,,1,1,1,,1,1,,1
2021-09-23,Oman,,,1,1,1,1,1,,1
2021-09-23,Pakistan,,0,0,0,0,0,1,1,1
2021-09-23,Palestine,,,1,1,1,,,0,1
2021-09-23,Panama,,1,0,0,0,0,0,0,1
2021-09-23,Papua New Guinea,,,,,,,,,
2021-09-23,Paraguay,,1,1,1,1,,1,,1
2021-09-23,Peru,,0,0,0,1,1,0,1,1
2021-09-23,Philippines,,1,1,0,0,0,0,1,1
2021-09-23,Poland,,1,1,1,1,,1,,1
2021-09-23,Portugal,,1,1,1,1,,,,1
2021-09-23,Puerto Rico,,1,,1,,,,,
2021-09-23,Qatar,,,,,,,,,
2021-09-23,Romania,,1,1,0,1,0,1,1,1
2021-09-23,Russia,,,0,1,0,,1,0,1
2021-09-23,Rwanda,,1,1,1,1,1,1,,1
2021-09-23,San Marino,,,,,,,,,
2021-09-23,Saudi Arabia,,1,1,1,1,1,,,1
2021-09-23,Senegal,,1,1,1,1,1,1,1,1
2021-09-23,Serbia,,,,,,,,,
2021-09-23,Seychelles,,1,1,1,1,1,1,1,1
2021-09-23,Sierra Leone,,1,1,,,1,,,1
2021-09-23,Singapore,,1,1,1,1,,1,,1
2021-09-23,Slovakia,,,,,,,,,
2021-09-23,Slovenia,,1,1,1,1,,,,1
2021-09-23,Solomon Islands,,,,,,,,,
2021-09-23,Somalia,,,,,,,,,
2021-09-23,South Africa,,,,,,,,,
2021-09-23,South Korea,,0,0,0,1,,,,1
2021-09-23,South Sudan,,,,,1,,,,1
2021-09-23,Spain,,1,1,0,0,,,,1
2021-09-23,Sri Lanka,,1,1,1,1,1,1,0,1
2021-09-23,Sudan,,,,,,,,,
2021-09-23,Suriname,,1,1,1,1,,1,,
2021-09-23,Sweden,,,,1,1,,1,,1
2021-09-23,Switzerland,,1,1,1,1,,1,,1
2021-09-23,Syria,,,,,,,,,
2021-09-23,Taiwan,,,0,1,0,0,,0,1
2021-09-23,Tajikistan,,,,,,,,,
2021-09-23,Tanzania,,1,,,,,,,1
2021-09-23,Thailand,,,,,,,,,
2021-09-23,Timor-Leste,,,,,,,,,
2021-09-23,Togo,,,,,,,,,
2021-09-23,Tonga,,,,,,,,,
2021-09-23,Trinidad and Tobago,,,,,,,,,
2021-09-23,Tunisia,,1,1,1,1,,1,1,1
2021-09-23,Turkey,,1,1,1,,1,,1,1
2021-09-23,Turkmenistan,,1,1,1,1,,,1,1
2021-09-23,Uganda,,1,1,1,1,1,1,1,1
2021-09-23,Ukraine,,1,1,1,1,1,,0,1
2021-09-23,United Arab Emirates,,,,,,,,,
2021-09-23,United Kingdom,,1,0,0,0,0,,,1
2021-09-23,United Kingdom,England,1,,,,,,,1
2021-09-23,United Kingdom,Northern Ireland,1,1,1,1,1,,,1
2021-09-23,United Kingdom,Scotland,1,,1,,,,,1
2021-09-23,United Kingdom,Wales,1,,,,,,,1
2021-09-23,Uruguay,,1,1,0,1,1,1,1,1
2021-09-23,United States,,,,,,,,,
2021-09-23,United States,Alabama,,,,,,,,
2021-09-23,United States,Alaska,,,,,,,,
2021-09-23,United States,Arizona,,,,,,,,
2021-09-23,United States,Arkansas,,,,,,,,
2021-09-23,United States,California,,,,,,,,
2021-09-23,United States,Colorado,,,,,,,,
2021-09-23,United States,Connecticut,,,,,,,,
2021-09-23,United States,Delaware,,,,,,,,
2021-09-23,United States,Florida,,,,,,,,
2021-09-23,United States,Georgia,,,,,,,,
2021-09-23,United States,Hawaii,,,,,,,,
2021-09-23,United States,Idaho,,,,,,,,
2021-09-23,United States,Illinois,,,,,,,,
2021-09-23,United States,Indiana,,,,,,,,
2021-09-23,United States,Iowa,,,,,,,,
2021-09-23,United States,Kansas,,,,,,,,
2021-09-23,United States,Kentucky,,,,,,,,
2021-09-23,United States,Louisiana,,,,,,,,
2021-09-23,United States,Maine,,,,,,,,
2021-09-23,United States,Maryland,,,,,,,,
2021-09-23,United States,Massachusetts,,,,,,,,
2021-09-23,United States,Michigan,,,,,,,,
2021-09-23,United States,Minnesota,,,,,,,,
2021-09-23,United States,Mississippi,,,,,,,,
2021-09-23,United States,Missouri,,,,,,,,
2021-09-23,United States,Montana,,,,,,,,
2021-09-23,United States,Nebraska,,,,,,,,
2021-09-23,United States,Nevada,,,,,,,,
2021-09-23,United States,New Hampshire,,,,,,,,
