tDate,Country,Number,HolidayName
2024-06-29,Chile,1,Saint Peter and Saint Paul
2024-06-29,Colombia,1,Feast of Saint Peter and Saint Paul
2024-06-25,Slovenia,1,Statehood Day
2024-06-24,Estonia,1,Midsummer Day
2024-06-24,Greece,1,Orthodox Holy Spirit Monday
2024-06-24,Latvia,1,Midsummer Day
2024-06-24,Lithuania,1,St John`s Day/Day of Dew
2024-06-23,Estonia,1,Victory Day
2024-06-23,Latvia,1,Midsummer Eve
2024-06-23,Luxembourg,1,National Day
2024-06-22,Finland,1,Midsummer
2024-06-22,Sweden,1,Midsummer Day
2024-06-21,Finland,1,Midsummer Eve
2024-06-20,Turkey,1,Sacrifice Feast Day 4
2024-06-19,Turkey,1,Sacrifice Feast Day 3
2024-06-18,Turkey,1,Sacrifice Feast Day 2
2024-06-17,Iceland,1,Icelandic Republic Day
2024-06-17,Turkey,1,Sacrifice Feast
2024-06-12,Israel,1,Shavuot
2024-06-10,China,1,Dragon Boat Festival
2024-06-10,Colombia,1,Sacred Heart
2024-06-10,Portugal,1,Portugal Day
2024-06-10,Taiwan,1,Dragon Boat Festival
2024-06-06,South Korea,1,Memorial Day
2024-06-06,Sweden,1,National day
2024-06-05,Denmark,1,Constitution Day
2024-06-03,Colombia,1,Corpus Christi
2024-06-03,Ireland,1,June Bank Holiday
2024-06-03,New Zealand,1,Queen`s Birthday
2024-06-02,Italy,1,Republic Day
2024-05-30,Austria,1,Corpus Christi
2024-05-30,Poland,1,Corpus Christi
2024-05-30,Portugal,1,Corpus Christi
2024-05-27,United Kingdom,1,Spring Bank Holiday
2024-05-27,United States,1,Memorial Day
2024-05-21,Chile,1,Navy Day
2024-05-20,Austria,1,Whit Monday
2024-05-20,Belgium,1,Whit Monday
2024-05-20,Canada,1,Victoria Day
2024-05-20,Denmark,1,Whit Monday
2024-05-20,France,1,Whit Monday
2024-05-20,Germany,1,Whit Monday
2024-05-20,Hungary,1,Whit Monday
2024-05-20,Iceland,1,Whit Monday
2024-05-20,Luxembourg,1,Whit Monday
2024-05-20,Netherlands,1,Whit Monday
2024-05-20,Norway,1,Whit Monday
2024-05-19,Belgium,1,Whit Sunday
2024-05-19,Denmark,1,Whit Sunday
2024-05-19,Estonia,1,Pentecost
2024-05-19,Iceland,1,Whit Sunday
2024-05-19,Latvia,1,Whitsunday
2024-05-19,Netherlands,1,Whit Sunday
2024-05-19,Norway,1,Whit Sunday
2024-05-19,Poland,1,Whit Sunday
2024-05-19,Slovenia,1,Whit Sunday
2024-05-19,Sweden,1,Whit Sunday
2024-05-19,Turkey,1,Commemoration of Ataturk Youth and Sports Day
2024-05-17,Norway,1,17 May Constitution Day (1814)
2024-05-15,South Korea,1,Buddha`s Birthday
2024-05-14,Israel,1,Yom HaAtzmaut
2024-05-13,Colombia,1,Ascension Day
2024-05-12,Latvia,1,Mothers` Day
2024-05-09,Austria,1,Ascension Day
2024-05-09,Belgium,1,Ascension Day
2024-05-09,Denmark,1,Ascension Day
2024-05-09,Finland,1,Ascension Day
2024-05-09,France,1,Ascension Day
2024-05-09,Germany,1,Ascension Day
2024-05-09,Iceland,1,Ascension Day
2024-05-09,Luxembourg,1,Ascension Day
2024-05-09,Luxembourg,2,Europe Day
2024-05-09,Netherlands,1,Ascension Day
2024-05-09,Norway,1,Ascension Day
2024-05-09,Sweden,1,Ascension Day
2024-05-08,Czechia,1,Victory in Europe Day
2024-05-08,France,1,WWII Victory Day
2024-05-08,Slovakia,1,End of World War II
2024-05-06,Greece,1,Orthodox Easter Monday
2024-05-06,Ireland,1,May Day
2024-05-06,Latvia,1,Independence Restoration Day observed
2024-05-06,United Kingdom,1,Early May Bank Holiday
2024-05-05,Netherlands,1,Liberation Day
2024-05-05,South Korea,1,Children`s Day
2024-05-04,China,1,Youth Day
2024-05-04,Latvia,1,Independence Restoration Day
2024-05-03,Greece,1,Orthodox Good Friday
2024-05-03,Poland,1,Constitution Day
2024-05-02,Slovenia,1,Labour Day holiday
2024-05-01,Austria,1,Labor Day / May Day
2024-05-01,Belgium,1,Labor Day / May Day
2024-05-01,Chile,1,Labor Day / May Day
2024-05-01,China,1,Labour Day
2024-05-01,Colombia,1,Labor Day / May Day
2024-05-01,Costa Rica,1,Labor Day / May Day
2024-05-01,Czechia,1,Labor Day / May Day
2024-05-01,Denmark,1,Labor Day / May Day
2024-05-01,Estonia,1,Labor Day
2024-05-01,Finland,1,May Day
2024-05-01,France,1,Labor Day / May Day
2024-05-01,Germany,1,May Day
2024-05-01,Greece,1,Labor Day / May Day
2024-05-01,Hungary,1,Labor Day / May Day
2024-05-01,Iceland,1,Labour Day
2024-05-01,Italy,1,Labor Day / May Day
2024-05-01,Latvia,1,Labour Day/May Day
2024-05-01,Latvia,2,Constituent Assembly Convocation Day
2024-05-01,Lithuania,1,Labour Day
2024-05-01,Luxembourg,1,Labor Day / May Day
2024-05-01,Mexico,1,Labor Day / May Day
2024-05-01,Norway,1,Labor day
2024-05-01,Poland,1,Labor Day / May Day
2024-05-01,Portugal,1,Labor Day / May Day
2024-05-01,Slovakia,1,Labor Day
2024-05-01,Slovenia,1,Labor Day / May Day
2024-05-01,Spain,1,Labor Day / May Day
2024-05-01,Sweden,1,May 1st
2024-05-01,Taiwan,1,Labor Day
2024-05-01,Turkey,1,Labor and Solidarity Day
2024-04-29,Israel,1,Passover (Day 7)
2024-04-27,Netherlands,1,King`s Birthday
2024-04-27,Slovenia,1,Day of Uprising Against Occupation
2024-04-26,Denmark,1,Great Prayer Day
2024-04-25,Australia,1,ANZAC Day
2024-04-25,Iceland,1,First Day of Summer
2024-04-25,Italy,1,Liberation Day
2024-04-25,New Zealand,1,ANZAC Day
2024-04-25,Portugal,1,Liberty Day
2024-04-23,Israel,1,Passover (Day 1)
2024-04-23,Turkey,1,National Sovereignty and Children`s Day
2024-04-15,Costa Rica,1,Battle of Rivas
2024-04-12,Turkey,1,Ramadan Feast Holiday
2024-04-11,Turkey,1,Ramadan Feast Holiday
2024-04-10,Turkey,1,Ramadan Feast
2024-04-04,China,1,Qing Ming Jie
2024-04-04,Taiwan,1,Tomb Sweeping Day
2024-04-04,Taiwan,2,Children`s Day
2024-04-01,Australia,1,Easter Monday
2024-04-01,Austria,1,Easter Monday
2024-04-01,Belgium,1,Easter Monday
2024-04-01,Canada,1,Easter Monday
2024-04-01,Czechia,1,Easter Monday
2024-04-01,Denmark,1,Easter Monday
2024-04-01,Finland,1,Easter Monday
2024-04-01,France,1,Easter Monday
2024-04-01,Germany,1,Easter Monday
2024-04-01,Hungary,1,Easter Monday
2024-04-01,Iceland,1,Easter Monday
2024-04-01,Ireland,1,Easter Monday
2024-04-01,Italy,1,Easter Monday
2024-04-01,Latvia,1,Easter Monday
2024-04-01,Lithuania,1,Easter Monday
2024-04-01,Luxembourg,1,Easter Monday
2024-04-01,Netherlands,1,Easter Monday
2024-04-01,New Zealand,1,Easter Monday
2024-04-01,Norway,1,Easter Monday
2024-04-01,Poland,1,Easter Monday
2024-04-01,Slovakia,1,Easter Monday
2024-04-01,Slovenia,1,Easter Monday
2024-04-01,Sweden,1,Easter Monday
2024-03-31,Belgium,1,Easter Sunday
