tDate,Area,Confirmeds,Deaths
2021-04-23,대구,12,0
2021-04-23,광주,16,0
2021-04-23,경남,63,0
2021-04-23,경북,22,0
2021-04-23,경기,298,1
2021-04-23,강원,15,0
2021-04-23,경기,298,1
2021-04-23,경남,63,0
2021-04-23,경북,22,0
2021-04-23,광주,16,0
2021-04-23,대구,12,0
2021-04-23,대전,2,1
2021-04-23,부산,33,0
2021-04-23,서울,204,1
2021-04-23,세종,3,0
2021-04-23,울산,38,0
2021-04-23,인천,10,0
2021-04-23,전남,6,0
2021-04-23,전북,9,0
2021-04-23,제주,3,0
2021-04-23,충남,10,0
2021-04-23,충북,30,0
2021-04-23,대전,2,1
2021-04-23,강원,15,0
2021-04-24,강원,9,0
2021-04-24,대전,10,0
2021-04-24,강원,9,0
2021-04-24,경기,244,0
2021-04-24,경남,52,0
2021-04-24,경북,32,0
2021-04-24,광주,15,0
2021-04-24,대구,4,0
2021-04-24,대전,10,0
2021-04-24,부산,44,0
2021-04-24,서울,253,0
2021-04-24,세종,1,0
2021-04-24,울산,50,1
2021-04-24,인천,18,0
2021-04-24,전남,1,0
2021-04-24,전북,9,0
2021-04-24,제주,3,0
2021-04-24,충남,14,0
2021-04-24,충북,15,0
2021-04-24,경기,244,0
2021-04-24,경북,32,0
2021-04-24,경남,52,0
2021-04-24,광주,15,0
2021-04-24,대구,4,0
2021-04-24,부산,44,0
2021-04-24,서울,253,0
2021-04-24,세종,1,0
2021-04-24,울산,50,1
2021-04-24,인천,18,0
2021-04-24,충북,15,0
2021-04-24,전남,1,0
2021-04-24,전북,9,0
2021-04-24,제주,3,0
2021-04-24,충남,14,0
2021-04-25,충남,6,0
2021-04-25,제주,3,0
2021-04-25,전북,7,0
2021-04-25,전남,9,0
2021-04-25,충북,15,0
2021-04-25,인천,15,0
2021-04-25,울산,43,0
2021-04-25,세종,0,0
2021-04-25,서울,175,0
2021-04-25,부산,43,0
2021-04-25,대구,14,0
2021-04-25,광주,8,0
2021-04-25,경남,45,0
2021-04-25,경북,24,1
2021-04-25,경기,191,0
2021-04-25,강원,10,0
2021-04-25,경기,191,0
2021-04-25,경남,45,0
2021-04-25,경북,24,1
2021-04-25,광주,8,0
2021-04-25,대구,14,0
2021-04-25,대전,6,0
2021-04-25,부산,43,0
2021-04-25,서울,175,0
2021-04-25,세종,0,0
2021-04-25,울산,43,0
2021-04-25,인천,15,0
2021-04-25,전남,9,0
2021-04-25,전북,7,0
2021-04-25,제주,3,0
2021-04-25,충남,6,0
2021-04-25,충북,15,0
2021-04-25,대전,6,0
2021-04-25,강원,10,0
2021-04-26,강원,12,0
2021-04-26,대전,4,0
2021-04-26,강원,12,0
2021-04-26,경기,150,2
2021-04-26,경남,29,0
2021-04-26,경북,25,0
2021-04-26,광주,15,0
2021-04-26,대구,7,1
2021-04-26,대전,4,0
2021-04-26,부산,25,0
2021-04-26,서울,154,1
2021-04-26,세종,1,0
2021-04-26,울산,13,0
2021-04-26,인천,14,0
2021-04-26,전남,0,0
2021-04-26,전북,6,0
2021-04-26,제주,1,0
2021-04-26,충남,7,0
2021-04-26,충북,16,0
2021-04-26,경기,150,2
2021-04-26,경북,25,0
2021-04-26,경남,29,0
2021-04-26,광주,15,0
2021-04-26,대구,7,1
2021-04-26,부산,25,0
2021-04-26,서울,154,1
2021-04-26,세종,1,0
2021-04-26,울산,13,0
2021-04-26,인천,14,0
2021-04-26,충북,16,0
2021-04-26,전남,0,0
2021-04-26,전북,6,0
2021-04-26,제주,1,0
2021-04-26,충남,7,0
2021-04-27,충남,14,0
2021-04-27,제주,5,0
2021-04-27,전북,5,0
2021-04-27,전남,2,0
2021-04-27,충북,10,0
2021-04-27,인천,14,0
2021-04-27,울산,18,0
2021-04-27,세종,2,0
2021-04-27,서울,116,0
2021-04-27,부산,30,1
2021-04-27,대구,12,0
2021-04-27,광주,6,1
2021-04-27,경남,28,0
2021-04-27,경북,22,0
2021-04-27,경기,195,1
2021-04-27,강원,2,0
2021-04-27,경기,195,1
2021-04-27,경남,28,0
2021-04-27,경북,22,0
2021-04-27,광주,6,1
2021-04-27,대구,12,0
2021-04-27,대전,8,0
2021-04-27,부산,30,1
2021-04-27,서울,116,0
2021-04-27,세종,2,0
2021-04-27,울산,18,0
2021-04-27,인천,14,0
2021-04-27,전남,2,0
2021-04-27,전북,5,0
2021-04-27,제주,5,0
2021-04-27,충남,14,0
2021-04-27,충북,10,0
2021-04-27,대전,8,0
2021-04-27,강원,2,0
2021-04-28,강원,11,0
2021-04-28,대전,10,0
2021-04-28,강원,11,0
2021-04-28,경기,194,1
2021-04-28,경남,55,0
2021-04-28,경북,29,0
2021-04-28,광주,12,0
2021-04-28,대구,29,0
2021-04-28,대전,10,0
2021-04-28,부산,33,0
2021-04-28,서울,259,0
2021-04-28,세종,2,0
2021-04-28,울산,33,0
2021-04-28,인천,20,0
2021-04-28,전남,5,0
2021-04-28,전북,13,0
2021-04-28,제주,3,0
2021-04-28,충남,38,0
2021-04-28,충북,22,0
2021-04-28,경기,194,1
2021-04-28,경북,29,0
2021-04-28,경남,55,0
2021-04-28,광주,12,0
2021-04-28,대구,29,0
2021-04-28,부산,33,0
2021-04-28,서울,259,0
2021-04-28,세종,2,0
2021-04-28,울산,33,0
2021-04-28,인천,20,0
2021-04-28,충북,22,0
2021-04-28,전남,5,0
2021-04-28,전북,13,0
2021-04-28,제주,3,0
2021-04-28,충남,38,0
2021-04-29,충남,16,0
2021-04-29,제주,1,0
2021-04-29,전북,9,0
2021-04-29,전남,2,0
2021-04-29,충북,10,0
2021-04-29,인천,25,0
2021-04-29,울산,46,0
2021-04-29,세종,0,0
2021-04-29,서울,227,2
2021-04-29,부산,40,0
2021-04-29,대구,19,0
2021-04-29,광주,8,0
2021-04-29,경남,38,0
2021-04-29,경북,29,0
2021-04-29,경기,182,2
2021-04-29,강원,13,0
2021-04-29,경기,182,2
2021-04-29,경남,38,0
2021-04-29,경북,29,0
2021-04-29,광주,8,0
2021-04-29,대구,19,0
2021-04-29,대전,4,0
2021-04-29,부산,40,0
2021-04-29,서울,227,2
2021-04-29,세종,0,0
2021-04-29,울산,46,0
2021-04-29,인천,25,0
2021-04-29,전남,2,0
2021-04-29,전북,9,0
2021-04-29,제주,1,0
2021-04-29,충남,16,0
2021-04-29,충북,10,0
2021-04-29,대전,4,0
2021-04-29,강원,13,0
2021-04-30,강원,4,0
2021-04-30,강원,4,0
2021-04-30,대전,31,0
2021-04-30,대전,31,0
2021-04-30,강원,4,0
2021-04-30,강원,4,0
2021-04-30,경기,151,1
2021-04-30,경기,151,0
2021-04-30,경남,37,0
2021-04-30,경남,37,0
2021-04-30,경북,28,0
2021-04-30,경북,29,0
2021-04-30,광주,4,0
2021-04-30,광주,4,0
2021-04-30,대구,14,1
2021-04-30,대구,14,0
2021-04-30,대전,31,0
2021-04-30,대전,31,0
2021-04-30,부산,32,0
2021-04-30,부산,32,0
2021-04-30,서울,227,1
2021-04-30,서울,227,0
2021-04-30,세종,1,0
2021-04-30,세종,1,0
2021-04-30,울산,61,0
2021-04-30,울산,61,0
2021-04-30,인천,14,0
2021-04-30,인천,14,0
2021-04-30,전남,6,0
2021-04-30,전남,5,0
