tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2021-04-03,7788295,104193,95861,6595,1737,70752,7613350,7829601,104736,96196,6800,1740,75288,7649577,41306,543,335,205,3,4536,36227
2021-04-04,7829601,104736,96196,6800,1740,75288,7649577,7849476,105279,96589,6946,1744,79799,7664398,19875,543,393,146,4,4511,14821
2021-04-05,7849476,105279,96589,6946,1744,79799,7664398,7868820,105752,96900,7104,1748,80497,7682571,19344,473,311,158,4,698,18173
2021-04-06,7868820,105752,96900,7104,1748,80497,7682571,7921290,106230,97363,7115,1752,79155,7735905,52470,478,463,11,4,-1342,53334
2021-04-07,7921290,106230,97363,7115,1752,79155,7735905,7966167,106898,97928,7214,1756,74642,7784627,44877,668,565,99,4,-4513,48722
2021-04-08,7966167,106898,97928,7214,1756,74642,7784627,8012421,107598,98360,7480,1758,77994,7826829,46254,700,432,266,2,3352,42202
2021-04-09,8012421,107598,98360,7480,1758,77994,7826829,8059113,108269,98786,7719,1764,81912,7868932,46692,671,426,239,6,3918,42103
2021-04-10,8059113,108268,98786,7718,1764,81912,7868933,8106630,108945,99301,7879,1765,90014,7907671,47517,677,515,161,1,8102,38738
2021-04-11,8106630,108945,99301,7879,1765,90014,7907671,8129532,109559,100109,7682,1768,91909,7928064,22902,614,808,-197,3,1895,20393
2021-04-12,8129532,109559,100109,7682,1768,91909,7928064,8152783,110146,100804,7572,1770,95248,7947389,23251,587,695,-110,2,3339,19325
2021-04-13,8152783,110146,100804,7572,1770,95248,7947389,8200519,110688,101332,7581,1775,85584,8004247,47736,542,528,9,5,-9664,56858
2021-04-14,8200519,110688,101332,7581,1775,85584,8004247,8245388,111419,101983,7654,1782,74627,8059342,44869,731,651,73,7,-10957,55095
2021-04-15,8245388,111419,101983,7654,1782,74627,8059342,8291126,112117,102513,7816,1788,70221,8108788,45738,698,530,162,6,-4406,49446
2021-04-16,8291125,112116,102513,7815,1788,70221,8108788,8333332,112789,103062,7937,1790,70883,8149660,42207,673,549,122,2,662,40872
2021-04-17,8333332,112786,103062,7934,1790,70883,8149663,8377779,113444,103594,8056,1794,71039,8193296,44447,658,532,122,4,156,43633
2021-04-18,8377779,113443,103594,8055,1794,71039,8193297,8396067,114115,104006,8312,1797,72191,8209761,18288,672,412,257,3,1152,16464
2021-04-19,8396066,114114,104006,8311,1797,72191,8209761,8414821,114646,104474,8371,1801,70763,8229412,18755,532,468,60,4,-1428,19651
2021-04-20,8414821,114646,104474,8371,1801,70763,8229412,8458592,115195,105227,8166,1802,66590,8276807,43771,549,753,-205,1,-4173,47395
2021-04-21,8458592,115195,105227,8166,1802,66590,8276807,8497594,115926,105877,8243,1806,67211,8314457,39002,731,650,77,4,621,37650
2021-04-22,8497594,115926,105877,8243,1806,67211,8314457,8537505,116661,106459,8394,1808,67139,8353705,39911,735,582,151,2,-72,39248
2021-04-23,8537505,116661,106459,8394,1808,67139,8353705,8583530,117458,107071,8576,1811,69939,8396133,46025,797,612,182,3,2800,42428
